Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-03-18,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-26,8,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-03-27,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-03-28,14,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,3,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
2020-03-29,8,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-30,12,0,2,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2020-03-31,22,0,2,1,0,0,0,8,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1
2020-04-01,19,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,1,0,0
2020-04-02,25,0,5,0,0,0,0,5,2,0,0,0,0,0,2,0,0,4,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0
2020-04-03,31,0,2,0,0,0,2,7,1,0,0,0,0,2,0,1,0,3,0,3,0,1,0,2,0,2,0,1,1,0,1,2,0
2020-04-04,32,0,5,1,0,0,1,7,1,0,0,0,2,0,0,2,0,3,0,0,0,2,0,1,0,5,0,0,1,0,0,0,1
2020-04-05,27,0,2,1,0,0,1,5,2,0,0,2,0,0,1,0,0,4,0,1,0,3,0,1,0,0,1,3,0,0,0,0,0
2020-04-06,53,0,10,0,2,1,2,16,1,0,0,0,2,0,0,1,1,4,0,0,0,4,0,2,1,1,1,2,1,0,0,1,0
2020-04-07,55,0,5,0,0,0,6,11,4,0,0,1,0,0,1,0,1,9,0,2,0,7,0,2,0,3,1,0,0,0,0,2,0
2020-04-08,46,0,6,1,0,0,6,7,0,0,0,0,0,2,1,1,1,5,3,0,0,1,0,3,0,6,1,1,0,1,0,0,0
2020-04-09,51,0,5,0,0,1,4,17,1,0,0,1,1,0,0,1,0,3,1,0,1,2,0,3,0,7,1,1,0,0,1,0,0
2020-04-10,63,1,6,0,1,0,1,23,1,0,0,1,0,0,1,1,1,5,0,0,0,5,1,2,0,10,0,0,0,0,0,3,0
2020-04-11,66,0,9,1,0,1,1,22,0,0,0,0,0,1,1,1,0,9,0,0,2,4,1,2,0,8,1,1,0,0,1,0,0
2020-04-12,68,0,11,1,0,0,4,13,0,0,0,0,1,0,0,0,0,13,1,0,0,2,0,4,0,7,3,2,0,3,3,0,0
2020-04-13,78,1,8,1,0,1,3,20,1,1,0,0,1,0,0,4,3,11,0,1,0,3,0,5,0,8,0,4,0,0,1,1,0
2020-04-14,82,0,10,0,1,0,2,25,4,0,0,2,1,2,0,1,1,10,0,0,1,4,1,3,0,5,1,5,1,1,1,0,0
2020-04-15,89,0,17,0,0,0,6,28,1,0,0,1,3,3,0,0,2,11,0,0,0,2,1,0,0,6,1,3,1,0,0,3,0
2020-04-16,75,0,10,1,0,0,3,31,3,1,0,0,0,0,1,2,0,8,0,1,0,5,0,1,0,3,0,3,0,0,1,1,0
2020-04-17,103,1,20,1,1,0,7,20,0,0,0,3,1,0,1,0,3,14,1,0,1,4,0,4,1,5,1,10,1,1,1,1,0
2020-04-18,101,0,15,0,1,0,4,26,0,0,0,0,2,2,0,1,0,18,0,0,0,9,0,5,1,6,0,9,0,0,2,0,0
2020-04-19,126,1,17,0,2,1,3,36,2,0,0,0,3,1,2,3,3,16,0,1,1,6,0,7,0,4,0,8,0,2,5,1,1
2020-04-20,144,0,16,1,0,0,6,31,4,0,0,0,3,1,1,4,4,24,2,1,1,7,0,10,0,11,1,8,3,0,4,1,0
2020-04-21,145,0,15,1,1,0,8,47,2,0,1,2,7,1,1,0,5,22,0,0,1,3,1,8,0,6,2,3,0,2,3,3,0
2020-04-22,150,1,18,2,2,1,7,37,2,0,0,3,3,2,3,1,7,19,0,2,1,5,0,6,0,8,2,10,0,3,4,1,0
2020-04-23,147,0,17,0,2,1,2,37,2,0,0,3,3,2,1,3,6,24,0,1,4,3,0,7,1,7,0,10,3,1,2,4,1
2020-04-24,179,0,21,1,2,0,14,51,2,0,1,1,1,1,3,2,3,31,0,1,1,4,0,15,0,6,1,8,1,1,5,2,0
2020-04-25,190,0,12,0,2,0,6,52,2,0,0,3,4,6,2,4,5,37,0,1,0,4,1,10,0,12,1,10,3,2,9,2,0
2020-04-26,210,0,16,2,1,0,5,53,2,1,1,2,1,7,0,4,7,49,2,1,1,7,3,9,0,10,0,10,1,2,10,2,1
2020-04-27,189,1,29,0,1,1,6,48,0,0,0,0,7,2,1,1,5,29,1,2,2,7,1,14,0,9,1,6,2,4,7,1,1
2020-04-28,176,1,19,1,0,1,4,42,2,0,1,0,5,5,2,4,5,34,0,1,0,12,0,9,0,7,1,8,1,4,3,3,1
2020-04-29,231,0,27,1,3,1,7,66,0,0,0,2,4,3,2,5,9,36,0,2,1,7,1,12,1,11,1,9,0,5,11,3,1
2020-04-30,219,1,21,0,1,1,8,74,0,0,0,3,2,4,3,6,7,33,0,1,3,8,1,10,1,9,0,10,3,3,3,2,1
2020-05-01,245,0,20,0,3,1,12,65,0,0,1,3,1,7,1,3,15,40,0,1,1,11,1,14,0,16,1,16,2,2,5,2,1
2020-05-02,226,1,25,0,4,4,6,57,1,1,2,2,8,2,4,1,11,34,1,3,1,4,1,5,0,6,3,11,4,3,15,4,2
2020-05-03,228,0,11,1,1,0,9,70,2,0,1,3,4,7,3,1,11,34,2,2,2,15,1,8,0,9,0,12,1,1,11,2,4
2020-05-04,286,1,30,0,0,0,11,72,4,2,0,3,4,8,2,3,15,48,4,2,4,11,2,6,2,13,1,14,1,8,12,2,1
2020-05-05,255,0,25,0,2,3,4,78,1,1,0,2,4,9,2,5,12,28,2,3,2,10,1,8,1,20,0,6,1,4,13,7,1
2020-05-06,262,3,26,2,1,1,9,83,3,0,0,3,10,9,5,0,13,24,0,1,4,8,1,9,1,6,0,14,3,3,16,4,0
2020-05-07,254,3,23,0,2,1,16,72,1,0,0,5,6,9,3,2,10,25,1,1,5,10,1,8,1,14,4,9,5,2,12,3,0
2020-05-08,269,1,32,2,2,2,8,74,2,0,2,6,3,9,0,5,10,29,1,0,5,5,1,5,1,11,1,21,4,7,18,2,0
2020-05-09,259,0,32,0,3,4,9,76,1,0,2,4,10,6,3,4,9,26,0,3,4,5,0,8,1,4,1,12,4,1,25,1,1
2020-05-10,265,1,27,2,0,6,9,75,1,0,0,2,5,10,3,3,5,34,2,3,2,5,3,10,0,7,4,11,3,1,23,7,1
